,ID,Name,Min Age,Max Age,Age Span,Number of Age Ranges,Number of Images,Gender
0,3,HelenHunt,10,51,41,6,38,0.0
1,4,JaneBirkin,19,68,49,6,39,0.0
2,5,PaulAnka,15,72,57,7,41,1.0
3,6,JaneFonda,25,74,49,6,30,0.0
4,13,MarietteHartley,21,73,52,6,33,0.0
5,15,AnitaEkberg,20,82,62,7,37,0.0
6,17,AnnMargret,20,73,53,7,32,0.0
7,18,BarbaraBain,27,82,55,6,38,0.0
8,19,BetteMidler,21,68,47,5,37,0.0
9,26,LindaEvans,18,69,51,6,32,0.0
10,27,LuiseRainer,22,100,78,4,60,0.0
11,29,MaggieSmith,23,78,55,6,34,0.0
12,31,OrnellaMuti,15,59,44,5,42,0.0
13,32,PeggyLipton,18,66,48,6,32,0.0
14,37,Arletty,34,88,54,5,32,0.0
15,40,EllenBurstyn,18,82,64,7,35,0.0
16,44,JeanneMoreau,25,85,60,6,39,0.0
17,47,JuneLockhart,13,89,76,7,37,0.0
18,48,LizaMinelli,17,66,49,6,31,0.0
19,50,MonicaVitti,27,69,42,5,36,0.0
20,51,MickJagger,18,71,53,7,46,1.0
21,53,ShirleyJones,19,79,60,7,35,0.0
22,56,VirnaLisi,18,75,57,7,37,0.0
23,58,ZsaZsaGabor,6,96,90,7,36,0.0
24,63,JulieAndrews,14,78,64,7,30,0.0
25,66,LaurenBacall,17,85,68,7,37,0.0
26,68,MargeChampion,18,94,76,7,34,0.0
27,69,MaureenOHara,18,89,71,6,30,0.0
28,71,MireilleDarc,22,74,52,6,42,0.0
29,73,SusanSarandon,24,68,44,5,38,0.0
30,77,AnjelicaHuston,16,63,47,6,31,0.0
31,78,BarbaraBouchet,17,71,54,7,41,0.0
32,79,BeaArthur,14,86,72,7,40,0.0
33,81,AngelaLansbury,19,87,68,7,43,0.0
34,83,DebbieReynolds,15,81,66,7,41,0.0
35,85,ElsaMartinelli,19,78,59,7,31,0.0
36,86,EvaMarieSaint,23,90,67,6,42,0.0
37,87,FrancescaAnnis,19,68,49,6,32,0.0
38,91,IsabelleAdjani,15,58,43,5,34,0.0
39,95,MyrnaLoy,19,86,67,7,50,0.0
40,97,UrsulaAndress,19,77,58,7,30,0.0
41,98,AngieDickinson,19,82,63,7,51,0.0
42,101,AnneBaxter,16,62,46,6,43,0.0
43,103,AlikiBoug,18,63,45,6,37,0.0
44,107,IsabelleHuppert,18,60,42,5,31,0.0
45,108,JamieLeeCurtis,20,55,35,5,30,0.0
46,110,JanetLeigh,21,77,56,6,31,0.0
47,114,MaryTylerMoore,22,77,55,6,38,0.0
48,116,MylКneDemongeot,18,78,60,7,30,0.0
49,117,RuthGordon,23,86,63,6,30,0.0
50,118,BarbraStreisand,10,71,61,8,32,0.0
51,119,CatherineDeneuve,11,71,60,7,38,0.0
52,120,ClaudiaCardinale,21,74,53,6,31,0.0
53,122,GeraldineChaplin,8,70,62,7,49,0.0
54,125,JaneRussell,19,88,69,7,31,0.0
55,133,AmandaRedman,22,57,35,4,31,0.0
56,138,CelesteHolm,25,91,66,6,31,0.0
57,139,DanielleDarrieux,14,93,79,7,52,0.0
58,140,GingerRogers,19,81,62,7,31,0.0
59,143,HelenHayes,6,90,84,8,41,0.0
60,147,JuneAllyson,20,86,66,6,30,0.0
61,150,PatriciaNeal,18,84,66,7,38,0.0
62,155,VanessaRedgrave,21,77,56,6,40,0.0
63,156,AnneBancroft,22,73,51,6,33,0.0
64,157,AnnieGirardot,26,79,53,6,36,0.0
65,158,BettyGrable,4,55,51,6,31,0.0
66,159,DeborahKerr,23,80,57,6,31,0.0
67,161,GloriaSwanson,19,79,60,7,35,0.0
68,167,SusannahYork,21,71,50,6,31,0.0
69,170,GeraldinePage,24,62,38,5,36,0.0
